ProcedureName,CaseType,NumberOfCases
Vitrectomy,Elective,478
Vitrectomy,Emergency,26
Vitrectomy,Unknown,4
Vitrectomy Plus Inj Vitreous Substitute,Elective,1
Vulvectomy Partial,Elective,3
Vulvectomy Radical,Elective,3
Vulvectomy Total,Elective,4
Washout of Joint,Elective,15
Washout of Joint,Emergency,47
Washout/Debridement Wound,Elective,459
Washout/Debridement Wound,Emergency,397
Washout/Debridement Wound,Unknown,8
Wedge Excision of Nail,Elective,6
Wedge Resection Lip,Elective,1
Wedge Resection of Lung,Elective,3
Weils Osteotomy - Metatarsal Heads (Orif),Elective,3
Wide Excision Scc Floor of Mouth,Elective,9
Wide Local Excision Breast,Elective,126
Wide Local Excision Breast Plus Axillary Clearance - Blk Dissect,Elective,12
Wide Local Excision Tongue,Elective,18
Wire Guided Wide Local Excision Breast,Elective,2
Wiring Olecranon (Orif),Elective,2
Wiring Olecranon (Orif),Emergency,5
Wiring Patella (Orif),Elective,2
Wiring Patella (Orif),Emergency,7
X-Ray Only,Elective,2
X-Ray Only,Emergency,1
X-Ray Procedure for Attention,Elective,4
Zadeks Procedure,Elective,1
Zuk Unicompartmental Knee Replacement,Elective,93
